Target_name	Target_accession	Query_name	Query_accession	Full_seq_evalue	Full_seq_score	Full_seq_bias	Best_1_dom_evalue	Best_1_dom_score	Best_1_dom_bias	exp	reg	clu	ov	env	dom	rep	inc	Description_of_target
PGK	PF00162.21	13pk_A	-	9.7e-160	531.7	0.0	1.1e-159	531.6	0.0	1.0	1	0	0	1	1	1	1	"Phosphoglycerate kinase"
Peptidase_S29	PF02907.17	1a1q_A	-	2.1e-75	251.6	1.6	2.5e-75	251.3	1.6	1.1	1	0	0	1	1	1	1	"Hepatitis C virus NS3 protease"
EF-hand_7	PF13499.8	1a2x_A	-	4.1e-32	110.5	8.0	6.1e-18	65.1	3.6	2.1	2	0	0	2	2	2	2	"EF-hand domain pair"
EF-hand_1	PF00036.34	1a2x_A	-	2.4e-30	101.9	20.6	3.5e-08	32.5	0.8	4.2	4	0	0	4	4	3	3	"EF hand"
EF-hand_8	PF13833.8	1a2x_A	-	7.4e-25	86.6	15.1	1.6e-12	47.1	0.3	3.8	2	2	2	4	4	3	3	"EF-hand domain pair"
EF-hand_6	PF13405.8	1a2x_A	-	1.1e-23	81.1	12.4	2.7e-07	30.0	0.0	4.5	4	2	0	4	4	2	2	"EF-hand domain"
EF-hand_5	PF13202.8	1a2x_A	-	2.4e-22	77.4	17.8	3.4e-06	26.4	0.1	4.5	4	0	0	4	4	4	4	"EF hand"
EF-hand_9	PF14658.8	1a2x_A	-	6.3e-17	61.8	0.6	2.3e-08	34.4	0.1	2.1	2	0	0	2	2	0	0	"EF-hand domain"
EF-hand_4	PF12763.9	1a2x_A	-	1.2e-07	31.7	5.9	0.0023	17.9	0.3	3.1	1	1	1	3	3	0	0	"Cytoskeletal-regulatory complex EF hand"
SPARC_Ca_bdg	PF10591.11	1a2x_A	-	1.4e-06	28.7	0.3	0.0003	21.2	0.3	2.1	1	1	1	2	2	0	0	"Secreted protein acidic and rich in cysteine Ca binding region"
C1-set	PF07654.17	1a4k_B	-	7.2e-18	64.8	0.0	1.1e-16	61.0	0.0	2.3	2	0	0	2	2	1	1	"Immunoglobulin C1-set domain"
