CLUSTER_REP,SUBCLUSTER_REP,SUBCLUSTER_MEMBERS
4p7nA,4p7qA,"['4p7oB', '4p7rA', '4p7nA', '4p7lA', '4p7oA']"
1f13A,1fieA,"['1ggtA', '1evuA', '1gguA', '1fieB', '1f13B', '1gguB', '1qrkA', '1ex0B', '1ex0A', '1ggyB', '1f13A', '1evuB', '1ggyA', '1ggtB', '1qrkB']"
1f13A,5mhnB,"['4ktyB', '5mhmA', '5mhoA', '5mhoB', '5mhmB', '5mhlB', '4ktyA', '5mhlA', '5mhnA']"
5jpdA,5i4kA,"['5hx7A', '5jpdA']"
4mkqA,4mkqB,"['4mkqA']"
2yxvA,2yxvB,"['2yxwB', '2yxwA', '2yxvA']"
1za6A,6p8nL,"['1za6G', '6p8nD', '1za6A', '3o2dL', '1za6C', '4kuzL', '1za6E', '6p8mL']"
1za6A,5jq6L,"[]"
2eg5E,2eg5G,"['2eg5A', '2eg5E', '2eg5C']"
3sbkA,3s9aA,"['3s9cA', '3s9bA', '3sbkA']"
3cd5A,3cctA,"['3cd7B', '3cd5D', '3bglB', '2q6cC', '3cd5A', '3cczA', '3cd0A', '3cdbC', '3cdaC', '3cctC', '3bglC', '2q6bA', '3cd7C', '2r4fB', '3ccwB', '2q1lC', '2q1lB', '3cd5B', '3cdaB', '3cdbA', '3cczB', '3cd0B', '3ccwA', '3cctB', '2q6cB', '2q6cD', '2q6bC', '2q6bD', '2r4fA', '2q6bB', '2r4fC', '2q6cA', '3cd0C', '3bglD', '3cdaA', '3bglA', '3cczC', '3ccwC', '3cdbB', '3cd5C']"
4g9nB,4g9nA,"['4g9mB', '4g9nB', '4g9mA']"
1knrA,1knpA,"['1knrA']"
3nadA,3nadA,"['3nadB']"
2hztA,2hztA,"['2hztB']"
4kgiC,4kgiC,"['1a0fA', '1a0fB', '1n2aB', '4kgiD', '1n2aA']"
1qdvA,1qdvB,"['1qdvD', '1qdvA', '1qdvC']"
1nj9H,1nj9H,"['1nj9B']"
1pbwB,1pbwB,"[]"
2cymA,1mdvA,"['2cthA', '2cymA', '2cthB', '1mdvB']"
6hs9A,6hsaA,"['6hs9A', '6hs8A']"
5hyhA,5hyhA,"[]"
4cs3A,4cs2A,"['6aanA', '5k1xA', '4cs4A', '6abmA', '6aadA', '5k1pA', '6ab2A', '6ab8A', '4ch3A', '4q6gA', '6abkA', '6aacA', '6ablA', '6aaoA', '6aazA', '4ch5A', '4ch6A', '4cs3A', '6aaqA', '4bw9A', '6aapA', '6ab1A', '6ab0A']"
5e6tA,5e6tA,"['5e6tB']"
1rk2B,1rksA,"['1gqtC', '1gqtB', '1rk2D', '1gqtA', '1rkdA', '1rk2C', '1rk2B', '1rkaA', '1rk2A', '1gqtD']"
1tgrA,1tgrB,"['1tgrA']"
5kr6B,5kr6B,"['5kr6A']"
4npbA,4npbA,"['4npbB']"
1xr4A,1xr4B,"['1xr4A']"
2iwkA,2iwfB,"['2iwkA', '2iwkB', '2iwfA']"
3zhcB,3zhcA,"['3zhcB']"
5ocxL,5ocxL,"['5ockL']"
3f4lA,3f4lE,"['3f4lF', '3f4lC', '3f4lB', '3f4lA', '3f4lD']"
1u5dA,1u5dD,"['1u5dB', '1u5dC', '1u5dA']"
6w38A,6w38A,"['6w3jA', '6w3iA', '6w36A']"
4f3vA,4f3vA,"['4f3vB']"
3qzpB,3qzoB,"['2itfA', '3qzoA', '3qzmB', '2iteA', '3qzmA', '3qznC', '2itfD', '2iteB', '3qznB', '3qzpA', '2itfC', '3qznA', '3qzpB', '2itfB', '3qzlA', '3qzoC', '3qzoD']"
6ip0A,6ip4A,"['6ip0A']"
3tuzA,3dhwA,"['6cvlB', '6cvlA', '3tuzA', '3tuiB', '3tuzB', '3tuzF', '3dhwB', '3dhwE', '3dhwF', '3tuiE', '3tuiF', '3tuzE', '3tujA', '3tujB', '3tuiA']"
5e79I,3wu2I,"['6jlki', '5e7ci', '5ws6i', '4tnhi', '6jloI', '5kaii', '4ixqI', '5b5ei', '5v2ci', '1s5li', '5gthI', '6jljI', '3a0hI', '5tisi', '6jlli', '4tnhI', '4ixqi', '2axti', '3kziI', '4ub6I', '6jlni', '5e79I', '5b66I', '6jlmI', '4ixrI', '1s5lI', '6jllI', '4tniI', '5zzni', '5b5eI', '4ub8i', '5ws6I', '3wu2i', '4pbui', '5gtiI', '4fbya', '6jlmi', '5h2fi', '3a0bi', '5gtii', '6jlpI', '5e79i', '4rvyI', '2axtI', '5kafi', '4ub8I', '6jlnI', '4pj0i', '5b66i', '5ws5i', '4tnkI', '5e7cI', '4il6I', '3a0hi', '4il6i', '5v2cI', '4tnjI', '4tnii', '5zznI', '4rvyi', '6jlkI', '4tnki', '6jloi', '4tnji', '5kaiI', '3a0bI', '4fbyI', '6jlji', '4ub6i', '5tisI', '6jlpi', '5h2fI', '5kafI', '5ws5I', '5gthi', '4pbuI', '4ixri']"
2ouiA,1y9aC,"['2ouiA', '2ouiC', '2ouiB', '1y9aA', '2ouiD']"
1moxC,1moxC,"['1moxD']"
1ruc2,1rud2,"['1vrh2', '2rmu2', '1rue2', '2r042', '2hwb2', '1rug2', '1ruh2', '1ruj2', '2rs52', '2r062', '1rmu2', '1r082', '1ncqB', '2rs32', '1na1B', '1hri2', '4pdwB', '2rr12', '4rhv2', '2rs12', '1ruf2', '1r092', '1ruc2', '2r072', '1rvf2', '2hwc2', '1hrv2', '2rm22', '1rui2']"
5okcB,5okcB,"['5msmD', '5msmA', '5okcA']"
5okcB,5okiC,"['5okiG']"
3pufD,3pufM,"['3pufD']"
6ze9A,6ze9A,"['6ze9B']"
5fjjA,5fjjD,"['5fjjA', '5fjjB', '5fjjC']"
6bwcC,6bwcC,"['6bwcE', '6bwcD', '6bwcF', '6bwcA', '6bwcB']"
7cngA,7cngA,"['6lbfA', '6lbfB']"
5cvwA,5cxlB,"['5cvwA', '5cxlA']"
1gaiA,3glyA,"['1gaiA', '3eqaA', '1agmA', '1dogA', '1glmA', '1gahA']"
5zkqB,5zkqB,"[]"
4hh9B,4hhaB,"['4hh9D', '4hh9B']"
2qa4V,1n8rW,"['1vqnV', '1vq5V', '3ccjV', '3cpwU', '3ccsV', '3cmeV', '1s72V', '1njiW', '2otjV', '1vq6V', '3cc2V', '3cceV', '3ccuV', '3cc4V', '1vq7V', '1vqlV', '1q7yW', '1k8aW', '1vq9V', '1kqsU', '3cxcU', '3cclV', '1kc8W', '1vqmV', '1yitV', '3g4sV', '2qexV', '1yijV', '1vqkV', '2otlV', '3g71V', '1kd1W', '1yhqV', '1k73W', '3ccmV', '3cd6V', '1yj9V', '1qvgU', '3g6eV', '3i55V', '2qa4V', '1yjnV', '3ccrV', '1vq8V', '3ccvV', '3ccqV', '1vqoV', '1yi2V', '1vqpV', '1qvfU', '3i56V', '1yjwV', '1q81W', '1w2bU', '1ffkS', '1vq4V', '1m1kW', '1jj2U', '1m90W', '3cc7V', '1q86W', '3cmaV', '1k9mW', '1q82W', '3ow2U']"
5l8xA,5l8xB,"['5l8xA']"
6c6qF,6e48F,"['6e48G', '6h6lH', '6e47G', '6h6mF', '6c74A', '6h6lE', '6h6lF', '6c6qF', '6h6mE', '6e47F', '1zoxA', '5fflA', '6c6qD']"
3g8rA,3g8rA,"['3g8rB']"
3iqdB,3iqdB,"['3c7dB', '3c7aA', '3c7cB']"
1hx8A,1hx8A,"[]"
2dyyD,2dyyL,"['2dyyA', '2dyyG', '2dyyJ', '2dyyE', '2dyyB', '2dyyF', '2dyyC', '2dyyI', '2dyyH', '2dyyD', '2dyyK']"
5zzqA,5zzpA,"['6a24A', '6ai7A', '5zzqA']"
2yq1C,2yq1B,"['2yq1D', '2yq1A', '2yq1C']"
4ocuA,4ocuA,"['4ocvA']"
2e59A,2z65D,"['2e56A', '3fxiD', '3ulaD', '3fxiC', '2e59A', '4g8aC', '4g8aD', '2z65C', '3ulaB']"
1uljD,1uljB,"['1uliF', '1uljD', '1uliD', '1uljF', '1uliB']"
4aybA,2y0sW,"['2waqA', '2y0sA', '2wb1W', '2wb1A', '4aybA', '3hkzA', '3hkzI']"
3h1pB,3h1pB,"[]"
4dtdA,4dtdA,"[]"
1yf2A,1yf2A,"[]"
1yf2A,1yf2B,"[]"
5hryH,5hryD,"['5hryF', '5hryB', '5hryH', '5hryA']"
3h00A,3h00D,"['3h00B', '3h00C', '3h00A']"
5vydB,5vydB,"['5vydA']"
4gofA,4gofB,"['4gofA', '4godA', '4goeA']"
5u2cA,5uvtA,"['6ffdA', '4kv4A', '3jvmA', '6duvA', '5ueoB', '4z93A', '5uvvB', '5uesA', '5ueqA', '5uf0A', '6vixD', '5uevA', '5uetA', '6vixB', '5uvxB', '2dwwA', '5uvyA', '5ueuB', '6vixC', '5uvvA', '6duvB', '5uvxA', '5uepA', '5u2cA', '5uvsA', '5ueyA', '5ueuA', '6vixA', '5uerA', '5uezA', '6ko2A', '3jvlA', '5ueoA', '5uvzA', '5uvuA', '5uexA']"
1c79A,1buiC,"['1c78B', '1c79A', '1c77B', '1c77A', '1c79B', '1c78A']"
6evjC,5m3hC,"['4wsbC', '6fhiC']"
6evjC,6evjF,"['6evjC']"
3pabA,1namH,"['3rolC', '1g6rH', '1lk2A', '3p4mD', '4pv8A', '1bqhD', '6gb6D', '2clvH', '3pabD', '1rjyD', '1legA', '4hkjM', '1fzkA', '1g6rI', '1fzmA', '1kpvA', '4pv9A', '3rooC', '1kj2H', '1p4lA', '3tidA', '2ckbI', '1kbgH', '1n59C', '1fo0H', '1vadA', '1t0mD', '1wbzC', '1kj3I', '3pabA', '3rolA', '3p4nA', '2zswC', '4hkjA', '1g7qA', '4pgbD', '2clzH', '3c8kA', '3rgvC', '4pgeA', '1rk1A', '1fzjA', '1p1zA', '3tieD', '2zswA', '4pgdA', '2vaaA', '4pv9C', '6jq2A', '2ckbH', '3cvhM', '4pgcA', '3p4mA', '3tieA', '3p4oD', '4hkjE', '1nanH', '2zsvA', '1kj2I', '1t0nA', '1fzoA', '1rjzD', '2zsvC', '1g7pA', '3p9mA', '4hs3A', '1bqhA', '4pgcD', '1t0nD', '1kpuA', '6gb6A', '3rooA', '2mhaC', '3p9lD', '1mwaH', '1oszA', '1lekA', '3cvhA', '3p4oA', '1wbzA', '1kj3H', '1rjzA', '4pg9A', '1t0mA', '1n59A', '6jq3A', '1nanL', '4pgbA', '2clvA', '3p9mD', '4hkjI', '2fo4A', '3p4nD', '1vacA', '1rk0A', '1mwaI', '2zswG', '3p9lA', '4pv8C', '2clzA', '2vabA', '2mhaA', '2zswE', '2ol3H', '1rjyA']"
1n4hA,1n4hA,"['1k4wA', '1nq7A']"
3f6zB,3f6zD,"['3f6zB']"
3sioC,3sh1B,"['3sioA', '3sh1G', '3sh1F', '3sioG', '3sioJ', '3sh1C', '3sioD', '3sioB', '3sioC', '3sh1E', '3sh1A', '3sioI', '3sh1I', '3sioF', '3sh1J', '3sh1D', '3sioE', '3sh1H', '3sioH']"
6k65H,6k65H,"['1p4iH', '1p4bH']"
5jqlA,4ytwD,"['5jqlC', '4ytwB', '5jqlA']"
5jqlA,4ytxD,"['4ytxF', '4ytxL', '4ytxJ']"
5jqlA,4xizA,"['4xizB']"
2f20A,2f20B,"['2f20A']"
2hlsA,2hlsB,"['2hlsA']"
1o7hB,4hm4B,"['4hm8B', '4hm2B', '1eg9B', '4hjlB', '4hm6B', '4hm0B', '2hmjB', '1o7hB', '4hm1B', '4hm5B', '1o7mB', '2hmlB', '1ndoF', '1ndoB', '1ndoD', '2hmmB', '1o7wB', '1o7pB', '4hkvB', '2hmkB', '4hm3B', '2hmnB', '1uuvB', '1o7gB', '2hmoB', '1o7nB', '1uuwB', '4hm7B']"
5xcyA,5xczA,"['5xcyA']"
6rtyA,6rtwA,"['6rtyA']"
4mtsA,4mtqB,"['4mtsA', '4mttA', '4mtsB', '4mtrA', '4mttB', '4mtqA']"
1q6yA,1pqyA,"['1pt5B', '1pt7A', '1pt7B', '1pt5A', '1pt8B', '1q7eA', '1q6yA', '1pt8A']"
6dbpA,6dbpA,"['6dbpB']"
2virB,2visB,"['2vitB', '2virB']"
2virB,1gigH,"[]"
1zj8A,1zj9B,"['1zj9A', '1zj8A', '1zj8B']"
4j16C,4j1tC,"['4j16C', '4j1tF']"
5v6iA,5v6iB,"['5v6iA']"
5ihzL,5ig7E,"['5ihzL', '5ifjB', '5ig7K', '5ig7B', '5ifjK', '5ihzB', '5ihzF', '5ig7H', '5ihzD', '5ifjE', '5ifjH']"
3i2wB,3i2wA,"['3i2wB']"
1eaiC,1eaiC,"['1eaiD']"
2id1A,2id1A,"['2id1B']"
