QUERY_CLUSTER	SUBJECT_CLUSTER	CLUSTER_SEQUENCE_ID	QUERY_SUBCLUSTERS	SUBJECT_SUBCLUSTERS	DDM_CORRELATION_PEARSON	P-VALUE_PEARSON	DDM_CORRELATION_SPEARMAN	P-VALUE_SPEARMAN	FIXED_SEQ_ID	IG_PAIR	SEQ_ID_RANGE
13pkA	4o33A	43.26	"['13pkD', '16pkA']"	"['3c3cA', '2y3iA']"	-0.7385258847027886	0.0	-0.587222891995464	0.0	48.29396325459317	FALSE	"40-50"
13pkA	1qpgA	44.06	"['13pkD', '16pkA']"	"['1qpgA', '3pgkA']"	0.22505299826116357	0.0	0.19188289624151475	0.0	47.848101265822784	FALSE	"40-50"
1a2xA	1j1dD	66.88	"['1tcfA', '1a2xA']"	"['1j1eA', '1dtlA']"	0.3183203886719039	0.0	0.3173318073202184	0.0	68.05555555555556	FALSE	"60-70"
1a4kB	4r96H	74.43	"['1a4jB', '1a4kH']"	"['4r96B', '4r96F']"	-0.9715251026588158	0.0	-0.8009296327117721	0.0	73.45971563981043	TRUE	"70-80"
1a4kB	1bbdH	52.97	"['1a4jB', '1a4kH']"	"['1a3rH', '1bbdH']"	0.8975045148134924	0.0	0.7217254517898716	0.0	53.588516746411486	TRUE	"50-60"
1a4kB	6bjzH	74.43	"['1a4jB', '1a4kH']"	"['1i9rH', '6bjzH']"	0.959474432626825	0.0	0.7776999302250776	0.0	74.53703703703704	TRUE	"70-80"
1a4kB	6c6xE	65.6	"['1a4jB', '1a4kH']"	"['6c6xC', '6c6yH']"	-0.9468455262696219	0.0	-0.770703149236726	0.0	65.86538461538461	TRUE	"60-70"
1a4kB	5mp6H	65.49	"['1a4jB', '1a4kH']"	"['5mp6H', '5f89A']"	-0.9316327021786217	0.0	-0.7749211004372526	0.0	67.12962962962963	TRUE	"60-70"
4memB	5ok6A	76.79	"['4memA', '4memB']"	"['4melB', '5ok6B']"	-0.3664531735901516	0.0	-0.30600670373088956	0.0	78.0952380952381	FALSE	"70-80"
4mrrA	3wmgA	32.17	"['4mrsB', '6panA']"	"['3wmgA', '6a6mA']"	0.7374198334990884	0.0	0.6202172119368748	0.0	34.66424682395644	FALSE	"30-40"
4mrrA	3qf4A	28.64	"['4mrsB', '6panA']"	"['6quzA', '4q4hA']"	-0.7037129066784077	0.0	-0.5766537841483035	0.0	29.83425414364641	FALSE	"20-30"
4mrrA	3qf4B	31.14	"['4mrsB', '6panA']"	"['6quzB', '3qf4B']"	-0.7595949699912571	0.0	-0.6198001666478288	0.0	31.934306569343068	FALSE	"30-40"
4mxvF	4r96H	74.43	"['4mxwW', '4mxvY']"	"['4r96B', '4r96F']"	0.9839805283268371	0.0	0.817797102723467	0.0	76.77725118483413	TRUE	"70-80"
4mxvF	5k8aL	29.28	"['4mxwW', '4mxvY']"	"['3ixtL', '4zypM']"	-0.8406750070385487	0.0	-0.608894465002503	0.0	33.50785340314136	TRUE	"20-30"
4mxvF	5c7xL	31.7	"['4mxwW', '4mxvY']"	"['5c7xN', '5d7sL']"	-0.9531117292445869	0.0	-0.7986547168795294	0.0	38.17204301075269	TRUE	"30-40"
4mxvF	5i17B	74.55	"['4mxwW', '4mxvY']"	"['4dn4H', '4dn3H']"	-0.9676705749819944	0.0	-0.8101091269896401	0.0	76.07655502392345	TRUE	"70-80"
4mxvF	1za3B	80.87	"['4mxwW', '4mxvY']"	"['1za3B', '1za3H']"	0.9838682218478161	0.0	0.8449058738731688	0.0	87.26415094339622	TRUE	"80-90"
4mxvF	6umxH	78.41	"['4mxwW', '4mxvY']"	"['6umxH', '6umxh']"	-0.9229020850589841	0.0	-0.7877506759019746	0.0	83.80952380952381	TRUE	"70-80"
4mxvF	5w4lH	80.91	"['4mxwW', '4mxvY']"	"['3tnnE', '5w4lH']"	0.9874853268231806	0.0	0.8343000295815889	0.0	83.17307692307693	TRUE	"80-90"
4mxvF	7jx3C	78.85	"['4mxwW', '4mxvY']"	"['7jxcH', '7jx3C']"	-0.9428313686016622	0.0	-0.7975495258796991	0.0	86.40776699029125	TRUE	"70-80"
4mxvF	3qg6B	55.71	"['4mxwW', '4mxvY']"	"['3qg6H', '3qg7H']"	-0.9783643575845198	0.0	-0.8020050785867914	0.0	59.80392156862745	TRUE	"50-60"
4mxvF	4nrxH	70.13	"['4mxwW', '4mxvY']"	"['4nrxA', '4nrzH']"	0.9811499588453093	0.0	0.8200579901279226	0.0	75.94339622641509	TRUE	"70-80"
4mxvF	5vkkH	75.34	"['4mxwW', '4mxvY']"	"['5vl3H', '5vkkA']"	-0.8645888934102034	0.0	-0.6902850689130553	0.0	78.15533980582524	TRUE	"70-80"
4mxvF	4x8jH	62.44	"['4mxwW', '4mxvY']"	"['4x8jA', '4x8jH']"	0.9868475449278815	0.0	0.8491673285529311	0.0	71.05263157894737	TRUE	"60-70"
1jnhB	6ca7H	53.42	"['1jn6B', '1jnhB']"	"['6ca9D', '6ca7H']"	-0.023952448891155435	6.270954199773082e-07	-0.06817012526986169	9.769971677476932e-46	58.65384615384615	TRUE	"50-60"
1jnhB	6mubH	51.57	"['1jn6B', '1jnhB']"	"['3ob0H', '3oauH']"	0.5230984066763275	0.0	0.4587380853313585	0.0	53.84615384615385	TRUE	"50-60"
1jnhB	5az2H	79.36	"['1jn6B', '1jnhB']"	"['5az2H', '5e8dH']"	-0.8822883136253149	0.0	-0.7111719497447672	0.0	79.42583732057416	TRUE	"70-80"
1jnhB	2zuqC	66.51	"['1jn6B', '1jnhB']"	"['2zuqF', '2zuqC']"	0.8716237612188495	0.0	0.704129159023561	0.0	66.66666666666666	TRUE	"60-70"
1jnhB	7c94E	71.04	"['1jn6B', '1jnhB']"	"['7c95B', '7c94E']"	-0.8862690388083375	0.0	-0.686247818286274	0.0	71.29186602870813	TRUE	"70-80"
